id,title,url,published_at,duration_seconds,views,likes,tags
hEHzWiT9e1k,Grype upgrade to 0 42 0,https://youtu.be/hEHzWiT9e1k,2022-07-18,70,26,,
C2-i_fc5fKk,grype-contribs demo,https://youtu.be/C2-i_fc5fKk,2022-07-18,364,78,1,"devops,docker,security,devsecops,infosec,grype,anchore"
wLmPentyhM0,OPT-NC - neofetch and caca demo,https://youtu.be/wLmPentyhM0,2022-07-17,38,46,,
q2kNbOI_IPI,OPT NC Generative Art   Installation Boucing Balls,https://youtu.be/q2kNbOI_IPI,2022-07-05,9,8,,
63E_efWQslQ,OPT NC Generative Art Temps Attente Gravity,https://youtu.be/63E_efWQslQ,2022-06-30,33,3,,
wvTe1ca9bbI,OPT NC attente Orbit  Interactions,https://youtu.be/wvTe1ca9bbI,2022-06-30,33,6,,
YnAAvigoC3A,OPT NC Temps attente Orbit  Startup,https://youtu.be/YnAAvigoC3A,2022-06-30,16,6,,
4vmKVhHkdhI,temps attente agences dataviz,https://youtu.be/4vmKVhHkdhI,2022-06-30,476,40,1,"dataviz,p5js,docker,digitalart"
nxMQejs1XOU,Grype release v0.40.1 (and php support),https://youtu.be/nxMQejs1XOU,2022-06-24,121,19,1,
luCdXf-TGYY,Is Redmine affected by CVE-2022-32209 ?,https://youtu.be/luCdXf-TGYY,2022-06-23,129,89,,
SpzF0sHSkes,Demo API temps d'attente,https://youtu.be/SpzF0sHSkes,2022-06-23,345,42,,
uaiklKmxkws,optnc' s public dockerhub images stats from the shell (httpie/lolcat),https://youtu.be/uaiklKmxkws,2022-06-15,66,60,1,
9H60KADDJRo,Does OPT-NC have public docker images ?,https://youtu.be/9H60KADDJRo,2022-06-13,98,27,,
nPg5d1YOKjk,SDKMAN ! Auto-update environments with .sdkmanrc,https://youtu.be/nPg5d1YOKjk,2022-06-08,827,103,1,
wWyUDkghFZI,Github cli : gérer les milestones depuis le terminal,https://youtu.be/wWyUDkghFZI,2022-05-30,1076,111,1,
fVODO2iAniY,Introduction à Killercoda avec domaine.nc,https://youtu.be/fVODO2iAniY,2022-05-23,1320,212,5,
4eNz5qHGnEY,"API Documentation release automation with Github, redocly and Open API",https://youtu.be/4eNz5qHGnEY,2022-05-20,824,252,2,
